1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Stanford,TCU,Oklahoma,Villanova,USC,Minnesota,Auburn,Furman,TCU,Oklahoma,Michigan,UCLA,Texas,SMU,Ohio St.,Wake Forest,Purdue,Georgia Tech,Illinois,Boston College,Hamline,Pittsburgh,Baylor,Tulane,VMI,Syracuse,Michigan,Maryland,Georgia Tech,Tulsa,Nebraska,Purdue,Trinity (TX),USC,Texas,Cincinnati,Villanova,Florida St.,USC,Texas A&M,Ohio St.,New Mexico,Pittsburgh,UCLA,Alabama,Texas Tech,San Jose St.,Texas Tech,Iowa,Texas,Tennessee,Texas A&M,Florida,Miami (FL),Liberty,LSU,Indiana,Ohio St.,USC,Colorado,Boston College,Notre Dame,Marshall,Eastern Michigan,Jackson St.,Ohio St.,Colorado,Notre Dame,Miami (FL),Arkansas,Minnesota,Florida,USC,California,Oklahoma,Baylor,Syracuse,Notre Dame,Alabama,Texas A&M,Notre Dame,Florida,Ohio St.,Maryland,TCU,Michigan,Washington,TCU,Penn St.
St. Mary's (CA),Washington,Purdue,Wisconsin,LSU,Pennsylvania,Oregon,Baylor,Michigan,SMU,Ohio St.,Indiana,North Carolina,Columbia,Boston College,Texas,Notre Dame,Oklahoma,Houston,Texas,Auburn,Michigan,Washington St.,Rice,Pacific,Michigan St.,Utah,Michigan St.,Arizona St.,Georgia Tech,Tulsa,Arizona St.,Texas-El Paso,Syracuse,Tennessee,North Carolina,Oregon,USC,North Carolina St.,LSU,Arizona,Michigan St.,Eastern Michigan,Nebraska,Wisconsin,Southern Miss,Iowa,San Jose St.,Southern Illinois,Clemson,Iowa,North Carolina,Michigan St.,Michigan St.,Georgia,Texas,Ohio St.,Stanford,Michigan St.,Fort Valley St.,North Carolina,LSU,Syracuse,Saginaw Valley St.,Wisconsin,Syracuse,Ala-Birmingham,Florida,Tulane,Oklahoma,North Carolina St.,Notre Dame,Arkansas,Florida,Georgia Tech,Boston College,Oklahoma St.,Washington,Texas A&M,Kentucky,TCU,Missouri,Alabama,Washington St.,LSU,Virginia Tech,Georgia,Boston College,Toledo
Unknown,Marquette,Northwestern,Alabama,Tulane,Stanford,Minnesota,Benedictine,USC,Notre Dame,USC,San Jose St.,Columbia,St. Bonaventure,Pacific,Wake Forest,Georgia Tech,Pittsburgh,Rice,Ohio St.,TCU,South Carolina,Minnesota,Ohio St.,TCU,Missouri,Penn St.,Michigan St.,Clemson,Oklahoma,Michigan St.,Notre Dame,Minnesota,Tennessee St.,West Texas A&M,Ohio St.,Nebraska,Southern Miss,Montana St.,Tampa,Colorado,Ohio St.,Alabama,Clemson,Alcorn St.,Washington,Notre Dame,Arizona St.,Southern Miss,Florida St.,Queens (Canada),Louisville,Stanford,Florida,Washington,Miami (FL),Tennessee,Colorado,Arizona St.,Michigan,Penn St.,Houston,Florida,Ohio St.,Jackson St.,Mississippi,Northwestern,Miami (FL),Texas,Nebraska,Oklahoma,LSU,Illinois,Mississippi,Iowa,Baylor,Iowa,Florida,Auburn,Missouri,Mississippi,Mississippi,Georgia,Alabama St.,Oklahoma,Virginia Tech,Florida,USC,LSU
Minnesota,St. Mary's (CA),California,Nebraska,Purdue,Colorado,Washington,Notre Dame,Michigan,Iowa,Holy Cross,Vanderbilt,Arkansas,Columbia,Mississippi,Vanderbilt,Michigan St.,USC,Maryland,UCLA,Pittsburgh,Tennessee,Colorado,SMU,Mississippi,Wichita St.,Arizona,Alabama,Kentucky,Grambling St.,Notre Dame,Miami (FL),USC,Yale,Morgan St.,Ohio St.,Nebraska,Florida St.,Louisiana Tech,Ohio St.,Ohio St.,Memphis,Long Beach St.,Michigan,Texas,Auburn,USC,California-Davis,BYU,Tennessee,Pittsburgh,Texas A&M,Pittsburgh,Pittsburgh,Georgia,USC,East Carolina,Colorado,Indiana,Ohio St.,Mississippi St.,Maryland,UCLA,Florida,Ohio St.,Minnesota,Miami (FL),Iowa,Oregon St.,California,South Carolina,Miami (FL),East Carolina,Mississippi,Oklahoma St.,California,Stanford,Florida St.,Michigan St.,Florida,Houston,Ohio St.,Maryland,Alabama,Michigan,Alabama,Tulsa,Maryland,Alabama
Nebraska,Oklahoma,Boston Univ.,Pittsburgh,Brown,Alabama,Holy Cross,Pittsburgh,Duke,LSU,Oregon St.,Arkansas,Penn St.,Villanova,Missouri,Maryland,Arkansas,Indiana,Michigan St.,North Texas,Mississippi,TCU,Florida,Colorado,Georgia,Syracuse,Minnesota,Miami (OH),Stanford,Michigan St.,Los Angeles St.,San Diego St.,Tennessee St.,Oklahoma,Oklahoma St.,USC,Notre Dame,Nebraska,USC,Colorado St.,Oklahoma St.,Tennessee,Auburn,South Carolina,Notre Dame,Florida St.,Kentucky St.,Nebraska,Texas A&M,Alabama,SMU,Clemson,Illinois,Florida,Florida St.,Louisville,UCLA,Penn St.,Texas A&M,Houston,Texas A&M-Kingsville,Virginia,Syracuse,Clemson,Boston College,UCLA,Georgia,Miami (FL),Arkansas,Auburn,Ohio St.,Miami (FL),South Florida,Illinois,Florida,Alabama,Alabama,Florida St.,TCU,Washington,Miami (FL),Michigan,South Carolina,Oklahoma,Arizona St.,Clemson,Iowa,Utah,Arizona
Notre Dame,Kansas St.,Washington,Oklahoma,Oklahoma,Detroit Mercy,Texas,Furman,Boston College,Ohio St.,Rice,Michigan,Arkansas,Notre Dame,Notre Dame,Vanderbilt,Loyola Marymount,Oklahoma,Texas Tech,Florida,Texas Tech,Arkansas,Baylor,Duke,Southern Miss,Cincinnati,Notre Dame,Florida,LSU,Georgia Tech,Kentucky,Alabama,Arizona,Ohio St.,USC,North Texas,Boston College,Michigan St.,Jackson St.,Michigan,Colorado St.,Kentucky,Michigan,Georgia Tech,Oklahoma,Missouri,Mississippi St.,USC,Notre Dame,Oklahoma,SMU,Michigan,Syracuse,Miami (FL),Auburn,Illinois,South Carolina St.,Kansas,Arkansas,Florida St.,Miami (FL),Virginia Tech,LSU,Alabama,Arizona St.,Wisconsin,Florida,Stanford,Michigan,Mississippi,North Carolina St.,Purdue,Virginia Tech,USC,Tennessee,Pittsburgh,Illinois,UCLA,Louisville,Central Florida,Memphis,UCLA,Alabama,Mississippi St.,Utah St.,Northwestern,Florida St.,Michigan,Duke
Purdue,Indiana,California,Pittsburgh,Oklahoma,Wake Forest,Minnesota,Washington St.,Purdue,Tulsa,Michigan St.,San Francisco,LSU,Texas A&M,Colorado St.,Clemson,Houston,Michigan St.,USC,Baylor,SMU,Washington,North Carolina St.,Vanderbilt,Notre Dame,Georgia Tech,Georgia,Pacific,Holy Cross,Los Angeles St.,Arkansas,Houston,Indiana,Oregon St.,Vanderbilt,Texas Southern,Michigan,Rice,Penn St.,Colorado St.,Wyoming,Rice,Miami (FL),Tennessee,USC,Houston,Miami (FL),Pittsburgh,Ohio St.,Florida,Florida,Florida,LSU,Northern Arizona,Jackson St.,Michigan,Arizona,Tennessee,Notre Dame,Washington,USC,Colorado,Auburn,Wisconsin,West Virginia,Wisconsin,Miami (FL),Penn St.,Western Michigan,Ala-Birmingham,Memphis,Tennessee,Arizona,Connecticut,Rutgers,Colorado,Wisconsin,Clemson,Washington St.,Connecticut,UCLA,LSU,San Diego St.,Mississippi St.,Texas Tech,Minnesota,Utah,Oklahoma,Missouri
Rice,Vanderbilt,Colorado,Unknown,Oregon St.,SMU,Minnesota,Alabama,Indiana,Tennessee,Penn St.,Army,Georgia Tech,North Carolina,Brown,Georgia,Texas,Purdue,South Carolina,Syracuse,Notre Dame,Arkansas,Georgia Tech,Dayton,Penn St.,LSU,Missouri,Maryland,Notre Dame,Oklahoma,Syracuse,Oregon St.,Utah St.,Texas Southern,North Texas,Missouri,Tulsa,TCU,SW Missouri St.,San Diego St.,Clemson,Morris Brown,Michigan St.,Baylor,Arizona St.,Penn St.,Penn St.,Texas A&M-Kingsville,North Carolina,BYU,Jackson St.,Michigan St.,USC,Tennessee,West Virginia,Indiana,Miami (FL),North Carolina,Florida St.,Florida St.,Memphis,Clemson,Oklahoma St.,Ohio St.,BYU,Florida St.,Washington,Oklahoma,Ohio St.,Northwestern,UCLA,Central Michigan,USC,Louisville,Penn St.,Alabama,USC,North Carolina,Florida St.,Duke,Stanford,Michigan,Virginia Tech,Notre Dame,LSU,Houston,Georgia,Clemson,Texas
Northwestern,Minnesota,Pittsburgh,SMU,Duke,Nebraska,Detroit Mercy,Tennessee,Minnesota,Florida,Duke,Cornell,Virginia,Georgia Tech,Tulane,Kentucky,Georgia Tech,Tulsa,South Carolina,Oklahoma,Baylor,Tulane,Maryland,Colorado,Southern Miss,Georgia,Penn St.,Utah,Oregon,Virginia Tech,Kentucky,Oklahoma,Morgan St.,Houston,Michigan,Ohio St.,LSU,Oklahoma,Tennessee St.,Florida,Florida,USC,Tennessee St.,UCLA,Auburn,Nebraska,Michigan,Arizona St.,Auburn,Nebraska,LSU,Wisconsin,Ohio St.,Penn St.,Syracuse,Auburn,Miss. Valley St.,Alabama,Michigan,Texas,North Carolina A&T,Kansas St.,Mississippi,Michigan St.,USC,Ohio St.,Boston College,Oregon St.,Ohio St.,Michigan,Ohio St.,Auburn,North Carolina,North Carolina,Boise St.,Wisconsin,Notre Dame,Tennessee,Florida,Miami (FL),Mississippi,Miami (FL),Florida,TCU,Georgia,Georgia,Chattanooga,Clemson,Oklahoma
SMU,Pittsburgh,California,California,Alabama,Georgetown (DC),Case Western Reserve,Stanford,Utah,Marquette,Georgia Tech,Pennsylvania,Georgia,Hampden-Sydney,Minnesota,Northwestern,South Carolina,Army/Missouri,Duke,SMU,West Virginia,Southern Miss,Washington,North Carolina,New Mexico St.,Penn St.,Miami (FL),Arkansas,Hardin-Simmons,Washington,Maryland,Virginia,UCLA,Notre Dame,San Diego St.,Clemson,Texas,Oklahoma,Boston College,SMU,Florida,Boston College,Alabama,Northeastern,LSU,Minnesota,Missouri,California,USC,Alcorn St.,Boise St.,Nebraska,Arizona St.,Virginia,Tennessee,Florida St.,Pittsburgh,UCLA,San Diego St.,Ohio St.,Penn St.,Iowa,Tennessee,Virginia,Syracuse,Miami (FL),Auburn,Texas A&M,Virginia Tech,Virginia,LSU,LSU,Purdue,Rutgers,California,Temple,Illinois,Georgia,Northern Illinois,Arizona St.,Louisiana Tech,Wisconsin,Central Florida,Georgia,Auburn,Miami (FL),Purdue,Georgia,Clemson
Alabama,Auburn,Fordham,Pittsburgh,Minnesota,Nebraska,Baylor,Oregon St.,Pacific,Washington,Oklahoma,Oklahoma,William & Mary,Wake Forest,Northwestern,Boston Univ.,Michigan St.,SMU,Tulsa,Penn St.,SMU,Oklahoma,Tennessee,Baylor,Iowa,Auburn,Washington,Texas,Rice,Yale,Missouri,San Diego St.,Arizona St.,Arkansas St.,Texas,Grambling St.,USC,Colorado,Boston College,Penn St.,Boston College,Kansas,Minnesota,Iowa St.,Kansas,Boise St.,Texas A&M,Miami (FL),Oklahoma,Arizona,LSU,Clemson,UNLV,Auburn,Indiana,UCLA,Tennessee,Virginia,Temple,Michigan,Nevada,North Carolina,Washington St.,Tennessee,Arizona,Arizona St.,UCLA,California,Oklahoma St.,USC,Miami (FL),Miami (FL),Miami (FL),Ohio St.,TCU,Ohio St.,Boise St.,Wisconsin,Ohio St.,Clemson,Texas A&M,Alabama,Georgia,Washington,TCU,Penn St.,Michigan,Kansas St.,Florida
Michigan St.,Tulane,Nebraska,North Dakota St.,Oregon,Marquette,Oklahoma,Michigan,East Central (OK),Notre Dame,Tulane,Stanford,UCLA,Dartmouth,Purdue,Kentucky,Stanford,Tulsa,USC,Notre Dame,Pacific,Kent St.,Oklahoma,VMI,SMU,Oklahoma St.,USC,Maryland,USC,Ohio St.,Bowling Green,Houston,Jackson St.,Colorado,North Carolina St.,Tampa,Arizona,USC,Southern Miss,Auburn,Missouri,Abilene Christian,North Carolina,Boston College,Georgia,Purdue,Bethune-Cookman,Fresno St.,Oklahoma,Purdue,UCLA,Miami (FL),Florida St.,Wake Forest,TCU,North Carolina St.,Michigan,Wake Forest,California,Arizona St.,Texas A&M,Indiana,Washington,Syracuse,Arizona,Purdue,Tulane,Colorado,Georgia,Fresno St.,Boston College,Ohio St.,Clemson,Missouri,Florida St.,Mississippi St.,Virginia Tech,Florida,Louisville,Texas,Oklahoma St.,Wisconsin,Louisville,Arizona St.,LSU,Washington,Georgia,Penn St.,South Carolina
Washington St.,Pennsylvania,Vanderbilt,LSU,Florida,Oregon St.,Tulane,Alabama,Rice,Duquesne,Utah St.,USC,Alabama,Rice,Texas,Michigan St.,Texas A&M,Gustavus Adolphus,Nebraska,SMU,Duke,North Carolina,Auburn,Purdue,Purdue,North Carolina St.,Rice,Alabama,Buffalo,Michigan,Mississippi,Texas Southern,Texas-El Paso,Miami (FL),Kent St.,San Diego St.,Texas A&M,Florida St.,Tennessee St.,Louisiana Tech,Ball St.,California,Missouri,Oklahoma,Michigan,Portland St.,Texas,Arizona St.,Northwestern,San Diego St.,Arizona St.,Texas Tech,Miami (FL),North Carolina St.,Fresno St.,Southern Miss,Fresno St.,Miami (FL),Memphis,Northwestern,Texas,Ohio St.,Vanderbilt,West Virginia,Kansas St.,Kansas St.,Florida,Iowa,Auburn,Michigan,Alabama,Michigan,Houston,Western Michigan,Indiana,Virginia,Appalachian St.,Florida International,UCLA,Alabama,Clemson,Washington,Nevada,Washington,Clemson,Georgia,Houston,Kentucky,Florida St.
Idaho,Marquette,Minnesota,Texas A&M,Alabama,Oregon,California,Tulane,Cincinnati,Tulsa,Pennsylvania,Tulsa,Southern Miss,Utah,William & Mary,Kansas,Texas A&M,California,Georgia Tech,Colorado,Denver,Clemson,Duke,Cincinnati,SMU,Pittsburgh,Ohio St.,Auburn,Auburn,Nebraska,Tulsa,Jackson St.,Miami (FL),Utah St.,Southern,Penn St.,Hillsdale,Arizona,North Dakota St.,Kentucky,Texas Southern,Nebraska,Minnesota,Pittsburgh,Washington,Missouri,Florida St.,Georgia Tech,Penn St.,Maryland,Louisville,USC,Arizona St.,UCLA,Baylor,Louisville,Penn St.,Notre Dame,Florida,Stephen F. Austin,Michigan,Virginia,Florida,Georgia,LSU,Nebraska,UCLA,Georgia,Boston College,Oklahoma,Maryland,Penn St.,Michigan St.,Oregon,Virginia,Texas,Stanford,Tennessee,Boise St.,Penn St.,Notre Dame,Alabama,Texas-El Paso,Temple,USC,Mississippi,North Dakota St.,Iowa,Georgia
Minnesota,Oklahoma,Fordham,Missouri,Texas,Baylor,Clemson,Kentucky,Michigan,TCU,TCU,Arkansas–Monticello,Mississippi,Iowa,Washington St.,Nebraska,Washington,Ohio St.,George Washington,Iowa,SMU,Michigan St.,West Virginia,Michigan St.,Maryland,Wyoming,Wake Forest,Oregon,West Texas A&M,Cincinnati,Syracuse,San Diego St.,Mississippi,Texas A&M,Prairie View A&M,Texas A&M-Kingsville,Houston,Miami (FL),Minnesota,Notre Dame,Arkansas,Colorado,Ohio St.,UCLA,Arizona St.,Texas-Arlington,Illinois,SMU,Syracuse,Florida St.,Appalachian St.,Azusa Pacific,Oregon,UCLA,USC,Oregon St.,Notre Dame,Florida St.,Alabama,South Carolina St.,Purdue,Arizona St.,Washington,Northwestern,Virginia Tech,North Carolina,South Carolina,Louisiana,Oregon,Georgia,Miami (FL),Tennessee,Virginia Tech,Ohio St.,UCLA,TCU,Alabama,Stanford,Nevada,Florida St.,Arkansas,Michigan St.,Georgia,Florida,Georgia,North Carolina,Auburn,Notre Dame,Clemson
Tennessee,Santa Clara,North Carolina,Holy Cross,USC,Fordham,Holy Cross,Oregon,Texas,Marquette,Purdue,Pennsylvania,Hobart,Georgia,Villanova,Arizona St.,Ohio St.,Kentucky,Langston,Tennessee,West Virginia,Michigan,Illinois,Syracuse,Cincinnati,Memphis,Mississippi,Bowling Green,Mississippi St.,Penn St.,Arizona St.,San Diego St.,Arkansas,Texas-El Paso,Tennessee St.,Houston,Stanford,South Carolina St.,Michigan,Tampa,Kentucky,Arkansas,Memphis,Memphis,North Carolina,Iowa,Stanford,North Carolina,Oklahoma,Southern Miss,Auburn,Washington St.,Michigan,Texas A&M,Notre Dame,Alabama,Jackson St.,Georgia Tech,LSU,La-Monroe,Washington,Virginia,Louisiana,Florida,Southern Miss,Oregon St.,LSU,Illinois,Oregon,Nebraska,Florida,Houston,Kansas St.,Ohio St.,Mississippi,Nevada,Cincinnati,Mississippi St.,Fresno St.,Alabama,UCLA,Washington,South Carolina St.,South Carolina,Alabama,Oregon,Iowa St.,TCU,Illinois
SMU,Pittsburgh,Notre Dame,North Carolina,Temple,Michigan,Nebraska,Boston College,Hobart,California,Tennessee,Notre Dame,Michigan,Oregon,LSU,Michigan St.,Wyoming,Kentucky,William & Mary,Auburn,Michigan St.,UCLA,Maryland,Michigan,Oregon,Muskingum,Boston College,Mississippi St.,LSU,Miami (FL),Iowa,Washington St.,Wyoming,Pacific,Southern,Washington,Syracuse,Youngstown St.,Michigan,USC,Washington,Colorado,Colorado,Wyoming,Arkansas St.,Florida,Penn St.,LSU,Pittsburgh,UNLV,Texas A&M,USC,Bethune-Cookman,Rice,Texas A&M,Michigan St.,Arizona St.,Michigan,UCLA,Wisconsin,McNeese St.,Wisconsin,Illinois,Michigan,USC,Memphis,Colorado,Georgia,Oklahoma,USC,Virginia Tech,Utah,Oklahoma,Wake Forest,South Florida,Pittsburgh,California,North Carolina,Minnesota,Ohio St.,Mississippi St.,East Carolina,Auburn,Mississippi,Lenoir-Rhyne,Alabama,Baylor,Auburn,Washington
TCU,Rhodes,Georgia Tech,Texas A&M,Tulane,Pennsylvania,Georgetown (DC),Texas,Unknown,Oregon,Wake Forest,Northwestern,Temple,Scranton,Penn St.,Tulane,Colorado,Ohio St.,Oklahoma St.,Colorado,Iowa,Minnesota,Georgia Tech,Texas A&M,Marquette,Southern Illinois,Arizona,Villanova,Penn St.,Mississippi,Ohio St.,Utah St.,Southern Miss,Penn St.,Ohio St.,Texas,BYU,Tennessee St.,Texas Tech,Texas,Texas A&M,Penn St.,Florida,Oklahoma,Michigan St.,Baylor,Florida,Arkansas,Maryland,Cal State-Fullerton,North Alabama,Clemson,TCU,LSU,South Carolina,Arizona,Clemson,Ohio St.,Arizona,Nebraska,Alcorn St.,USC,Michigan St.,Nebraska,Arizona St.,Michigan,Washington St.,Wisconsin,Tusculum,Houston,Texas-El Paso,Arizona St.,Notre Dame,USC,Oregon,Virginia Tech,Clemson,Notre Dame,Washington,Mississippi St.,Baylor,Western Kentucky,USC,Oklahoma,Penn St.,Alabama,Penn St.,Syracuse,Texas
Purdue,Minnesota,Mississippi St.,Wisconsin,Ohio St.,Boston College,Iowa,Stanford,Boston College,Michigan,Utah,USC,Virginia,Wisconsin,Pittsburgh,Pennsylvania,North Carolina St.,Oklahoma,Maryland,Miami (FL),Purdue,Syracuse,Idaho,Villanova,Northwestern,Pittsburgh,TCU,Nebraska,Wisconsin,Florida St.,Indiana,Louisville,Illinois,California,Arizona St.,William Penn,Villanova,Notre Dame,Alcorn St.,Boston College,Texas A&M,Arkansas,North Carolina St.,Tulsa,Purdue,Mississippi St.,Texas,West Virginia,Miami (FL),Indiana St.,Alabama,Baylor,Angelo St.,Syracuse,Iowa St.,Colorado,Southern,Penn St.,Northwestern St. (LA),Colorado,Rutgers,Nebraska,Florida St.,Mississippi St.,Nebraska,Georgia,Nebraska,Bethune-Cookman,Georgia Tech,Oklahoma,USC,Texas,USC,Arizona,Illinois,UCLA,North Alabama,West Virginia,USC,Florida St.,Eastern Kentucky,Florida,Iowa,Central Michigan,Louisiana,Oklahoma St.,Washington,Mississippi,Florida St.
SMU,Washington,Ohio St.,Clemson,Scranton,Oregon,Texas A&M,Notre Dame,SMU,Iowa,UCLA,SMU,Minnesota,Indiana,Oregon,Rice,Baylor,Georgia Tech,West Virginia,Florida St.,Richmond,Central Michigan,Lehigh,Oklahoma St.,Wichita St.,Tulane,Texas Tech,Mississippi,Michigan,Alabama,Tennessee,Weber St.,Auburn,SMU,Johnson C. Smith,Washington,Auburn,Michigan St.,Johnson C. Smith,Kansas,Iowa,Alabama,Colorado St.,Wisconsin,Oklahoma,Missouri,Arizona St.,Michigan,Colorado,Virginia,Oklahoma,Washington,Oklahoma St.,Auburn,Notre Dame,Miami (FL),Virginia,Texas Southern,Alabama,Michigan St.,California,Clemson,Washington,Florida St.,Michigan,Mississippi,Florida,Maryland,Florida,Nebraska,Nebraska,BYU,Indiana,Boston College,Utah,North Carolina,Midwestern St.,Florida St.,BYU,Oklahoma,Oklahoma,Ohio St.,SMU,Clemson,TCU,Central Florida,Minnesota,Notre Dame,Iowa
Oregon,Denver,Arkansas,Baylor,Oregon,Arkansas,Tulsa,Union (TN),Wake Forest,Indiana,Texas A&M,Indiana,Ohio St.,San Francisco,Purdue,Texas A&M,Illinois,Nebraska,Maryland,Notre Dame,Ohio St.,Georgia Tech,Pittsburgh,USC,Mississippi,Wisconsin,Clemson,Florida,TCU,Baylor,Mississippi St.,Duke,Penn St.,Kansas,Texas A&M-Kingsville,Kansas,Montana,Nebraska,Penn St.,Oklahoma,UCLA,Kansas,Oklahoma St.,Arizona St.,Notre Dame,Northwestern St. (LA),Iowa,Arizona St.,San Jose St.,Iowa,TCU,Texas A&M,UCLA,Boston College,Notre Dame,Clemson,Arizona St.,North Carolina,Wyoming,Tennessee,Virginia Tech,Texas Tech,Arizona St.,North Carolina,Tennessee,Texas A&M,Washington St.,Michigan,Oklahoma St.,East. Washington,USC,Arkansas,Indiana,Connecticut,Central Florida,Clemson,Georgia,USC,Florida St.,Michigan,Alabama,Florida St.,Boston College,Kansas St.,Wisconsin,Washington,Michigan St.,LSU,Alabama
Minnesota,Kentucky,Texas Tech,Minnesota,Purdue,Tennessee,Texas,Stanford,UCLA,West Texas A&M,Oklahoma,Cincinnati,Notre Dame,Georgia Tech,LSU,Lehigh,Unknown,Wake Forest,Notre Dame,Texas A&M,Colorado,Stanford,Purdue,VMI,MD-Eastern Shore,Virginia Tech,Texas-El Paso,Tulsa,Texas A&M-Kingsville,Stanford,Illinois,Utah St.,Grambling St.,Tulane,California-Davis,Grambling St.,NE State (OK),Tennessee Tech,Tennessee St.,Nebraska,UCLA,New Mexico St.,Texas A&M-Kingsville,Florida St.,Utah St.,BYU,Texas St.,Michigan,Wichita St.,Jackson St.,Boston College,Cincinnati,Florida,Tulsa,Louisville,Miami (FL),USC,Florida St.,Tennessee,Louisiana,Michigan St.,Arizona St.,Oregon,Mississippi St.,Alabama,Florida St.,Washington,Arkansas,Hawaii,Tennessee,Abilene Christian,Arkansas,Virginia Tech,Oregon,Arizona,Arizona,Stanford,Florida St.,Vanderbilt,LSU,Boise St.,Utah,Penn St.,Missouri,Colorado,Notre Dame,Clemson,Oregon St.,Georgia
TCU,Tulsa,California,Utah,Arkansas,Texas A&M,Washington,William & Mary,Tulane,Florida,Clemson,Oregon St.,Ohio St.,Texas Tech,Notre Dame,Nebraska,SMU,Maryland,Syracuse,USC,Clemson,Duke,Iowa,Michigan St.,Minnesota,Wyoming,Alabama,Memphis,Georgia,Arizona St.,Iowa,Western Michigan,Penn St.,Texas-El Paso,Colorado,Michigan,USC,Oklahoma,Penn St.,North Carolina Central,Kansas,Colorado,Minnesota,Notre Dame,Penn St.,Syracuse,Arizona St.,LSU,Texas,Tennessee,San Diego St.,Wisconsin,Miss. Valley St.,Wyoming,LSU,Iowa,Auburn,Stanford,Arkansas,Kentucky,Michigan St.,Washington,Cincinnati,Syracuse,Marshall,Michigan,Ala-Birmingham,Hawaii,Notre Dame,LSU,Alabama,Michigan St.,Arkansas St.,Florida St.,Texas,Notre Dame,Georgia Tech,Mississippi St.,Colorado St.,Mississippi St.,Penn St.,Washington,Auburn,Hawaii,Notre Dame,TCU,Kentucky,Wisconsin,Rutgers
Alabama,Trinity (CT),Duquesne,Rice,Wisconsin,Oregon St.,Texas,Marquette,Minnesota,Purdue,Rice,Georgia Tech,Purdue,Washington & Lee,Texas-El Paso,Villanova,Oregon St.,Texas,UCLA,Oregon,Oklahoma,Florida,Buffalo,Texas A&M,Ohio St.,Baylor,North Texas,Northwestern,Wichita St.,Arizona St.,Nebraska,Kent St.,Washington,Nebraska-Omaha,Kansas,Abilene Christian,Tulsa,Oklahoma,Kent St.,Florida,Purdue,Oklahoma,Nebraska,Maryland,Stanford,Fresno St.,West Virginia,Baylor,California,Virginia Tech,Cal State-Fullerton,Baylor,Kentucky,Arizona,Central State (OH),Syracuse,Michigan St.,Colorado,Arizona St.,Notre Dame,LSU,Louisville,Southern Miss,North Dakota,Tennessee,Maryland,Ohio St.,Florida,Iowa,California,Miami (FL),South Carolina,Tulane,West Virginia,Texas,Boise St.,Illinois,Purdue,Alabama,Washington,Illinois,South Alabama,Washington,Mississippi St.,LSU,Kentucky,Alabama,Kansas St.,Oregon
Syracuse,Missouri,Duke,Ohio,Texas-El Paso,Mississippi St.,Hardin-Simmons,Ohio St.,Illinois St.,Notre Dame,Brown,Texas,Arizona,Oklahoma St.,Kentucky,Purdue,Arkansas,Florida,Notre Dame,California,Dayton,Pittsburgh,Idaho,Navy,North Carolina,New Mex. Highlands,LSU,LSU,Mississippi,Syracuse,San Jose St.,Michigan,Miss. Valley St.,Southern,Minnesota,Bowling Green,Tennessee St.,Texas-El Paso,Notre Dame,USC,Arkansas St.,Michigan,San Diego St.,Indiana,USC,Texas,Syracuse,Baylor,Texas,Notre Dame,Hawaii,Stanford,Southern,Notre Dame,Michigan,Notre Dame,Florida St.,Notre Dame,Rice,Michigan,Vanderbilt,North Carolina,USC,Clemson,Arkansas,Mississippi St.,Stanford,Texas A&M,Virginia Tech,USC,USC,USC,Colorado,Virginia,Utah,UCLA,South Carolina,LSU,Colorado,UCLA,Alabama,Ashland,Iowa,Vanderbilt,Minnesota,Stanford,Michigan,Alabama,Texas A&M
Columbia,Washington,Utah,Notre Dame,Tennessee,Nebraska,Tulane,Auburn,Santa Clara,Denver,USC,Pennsylvania,Detroit Mercy,Oklahoma St.,Georgia,Maryland,Georgia,Kansas,San Diego St.,Ohio St.,Wisconsin–LaCrosse,Maryland,Miami (FL),Oregon,San Jose St.,Washington,Penn St.,Penn St.,Texas A&M,Northwestern,Nebraska,Notre Dame,Texas-El Paso,Texas-El Paso,Jackson St.,Grambling St.,Oklahoma,BYU,Kent St.,New Mexico St.,Texas A&M-Kingsville,Ohio St.,Tennessee St.,Southeastern Louisiana,Penn St.,Alabama St.,North Carolina,East Carolina,Mississippi,North Dakota St.,Washington St.,Louisiana Tech,UCLA,North Carolina Central,Penn St.,Ohio St.,Penn St.,Miami (FL),Sonoma St.,Alabama,USC,Tennessee,Florida St.,LSU,Hawaii,TCU,Auburn,Tuskegee,Alabama,Iowa,Colorado,Michigan,Coastal Carolina,Cincinnati,East Carolina,Miami (FL),California,Oregon,Notre Dame,Samford,Alabama,Florida,Mississippi,LSU,Penn St.,Clemson,Kentucky,Georgia Tech,Texas
