"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"Notre Dame","Purdue","Northwestern","Texas A&M-Commerce","Baylor","San Francisco","Emporia St.","Unknown","Colorado","Fresno St.","UCLA","Washington & Lee","Yale","Texas Tech","Dartmouth","Loyola Marymount","Wisconsin","Pennsylvania","San Jose St.","West Virginia","Florida","USC","Washington","Los Angeles St.","Stanford","Pittsburgh","San Jose St.","Georgia Tech","Nebraska","Iowa St.","Illinois","Florida","Florida A&M","Utah"
"Unknown","Oregon","West Virginia","Georgia","San Jose St.","Alabama","Duke","UCLA","Notre Dame","Marquette","Notre Dame","UCLA","Colorado Mines","Michigan St.","Notre Dame","Washington St.","Virginia","Georgia Tech","Xavier (OH)","Pittsburgh","Florida A&M","Illinois","Texas A&M","Ohio St.","TCU","Utah St.","Mississippi","Nebraska","Georgia","LSU","Iowa","Ohio St.","West Virginia","New Mex. Highlands"
"Tulsa","Ohio St.","Texas A&M","Minnesota","Tulane","Davis & Elkins","SMU","Stanford","Minnesota","Wisconsin","USC","Texas","Illinois","Ohio St.","Kansas","Michigan","Clemson","Florida","South Carolina","Oklahoma St.","Michigan St.","Florida","Auburn","Michigan St.","Utah St.","Syracuse","Florida A&M","Pittsburgh","Notre Dame","Mississippi","Tennessee St.","Notre Dame","West Texas A&M","Arizona St."
"Minnesota","Indiana","Oregon St.","Arkansas","Texas Tech","USC","Missouri","Notre Dame","Washington","Tulsa","Georgia","Northwestern","Army","Wake Forest","Duke","McMurry","Pacific","USC","Baylor","Arkansas","Texas-El Paso","Michigan St.","Pacific","Mississippi","Unknown","Pacific","Penn St.","Miami (FL)","Texas","Minnesota","Louisville","Tennessee","East. Kentucky","Kansas"
"Notre Dame","West Virginia","Florida","Michigan St.","Pittsburgh","Rice","Utah","Georgia","Texas","Vanderbilt","Alabama","Vanderbilt","Notre Dame","Penn St.","Idaho","Tennessee","Tennessee","Virginia","William & Mary","USC","Colorado","Florida","Iowa","Florida A&M","Cincinnati","Washington St.","Bowling Green","Richmond","Alabama","Florida","Notre Dame","Missouri","Colorado St.","Md-Eastern Shore"
"Colgate","UCLA","Purdue","Kentucky","Duquesne","Purdue","Rice","TCU","Stanford","Temple","Boston Col.","Texas A&M","North Texas","Oklahoma","Notre Dame","Wisconsin–LaCrosse","Maryland","Illinois","Notre Dame","Maryland","William & Mary","Unknown","Howard Payne","Syracuse","Wisconsin","Auburn","Colorado","Auburn","Nebraska","Mississippi","SMU","Michigan","Mississippi","Ark-Pine Bluff"
"Marquette","Virginia Tech","Montana","Tulane","TCU","Pittsburgh","Oregon St.","California","Santa Clara","St. Mary's (CA)","Michigan","Washington","North Carolina","Washington St.","Pacific","John Carroll","Michigan","USC","Texas St.","Notre Dame","TCU","Indiana","Tennessee","Vanderbilt","Washington St.","Clemson","Michigan","Northwestern","TCU","Michigan","Mississippi St.","George Washington","Florida","West Texas A&M"
"Princeton","Mississippi","North Carolina","La Salle","Ohio St.","Wake Forest","Marquette","Georgia","Fordham","Wisconsin","Colorado","Colgate","Washington","St. Louis","SMU","South Carolina","Baylor","Ohio St.","Baylor","Unknown","Tulane","Georgia","Duke","Iowa","Florida","East Carolina","Notre Dame","Oregon St.","Michigan St.","Purdue","Kent St.","BYU","Clemson","Northern Illinois"
"Notre Dame","Washington","Colorado","Duke","Santa Clara","Boston Col.","Scranton","Iowa","North Carolina St.","Tennessee","Chattanooga","Mississippi","USC","Pennsylvania","Kentucky","Xavier (OH)","California","LSU","Ohio St.","Wisconsin","Miami (OH)","Oklahoma","Utah","VMI","Minnesota","Wake Forest","Mississippi","New Mexico St.","Memphis","Memphis","Notre Dame","Tennessee St.","Purdue","Tennessee St."
"Catholic","Kansas St.","Ohio St.","Pittsburgh","Rutgers","Minnesota","Oregon St.","Benedictine","Wake Forest","Missouri","Oklahoma St.","South Carolina","Stanford","St. Bonaventure","Detroit Mercy","Furman","Pacific","Georgia","Rice","Col. of Emporia","Baylor","Georgia Tech","Notre Dame","Holy Cross","Washington St.","Indiana","Houston","Ohio St.","William & Mary","MD-Eastern Shore","Texas","Oklahoma St.","Texas St.","TCU"
